Energy (eV),e1,e2
0.777382,5.909997,0
0.775711,5.914013,0
0.774049,5.914453,0
0.772393,5.918366,0.003923
0.770745,5.9176,0.007558
0.769104,5.919316,0.010619
0.76747,5.917237,0.012989
0.765843,5.918742,0.016135
0.764223,5.914134,0.017908
0.762611,5.916244,0.019525
0.761005,5.911997,0.020989
0.759406,5.913451,0.022446
0.757815,5.913242,0.023427
0.75623,5.915355,0.024206
0.754652,5.913983,0.024566
0.753081,5.917077,0.025583
0.751516,5.918849,0.025403
0.749959,5.919516,0.025074
0.748408,5.920723,0.025433
0.746863,5.923165,0.025503
0.745326,5.921018,0.024522
0.743795,5.92371,0.023753
0.74227,5.924768,0.022999
0.740752,5.924535,0.021916
0.73924,5.925543,0.019413
0.737735,5.926836,0.020271
0.736236,5.920582,0.016289
0.734744,5.919396,0.016561
