Energy (eV),e1,e2
1.801026,8.963688,0.836214
1.796893,8.924098,0.850407
1.792779,8.930386,0.848999
1.788684,8.938676,0.836865
1.784608,8.937189,0.834433
1.780551,8.922485,0.836258
1.776513,8.920913,0.838901
1.772493,8.927316,0.818079
1.768492,8.928994,0.816225
1.764508,8.912121,0.811835
1.760543,8.922947,0.811404
1.756596,8.919494,0.808003
1.752667,8.907792,0.804225
1.748755,8.926598,0.78153
1.744861,8.912923,0.7851
1.740985,8.896617,0.79171
1.737126,8.907014,0.778208
1.733284,8.892643,0.779501
1.72946,8.88801,0.781908
1.725653,8.90159,0.785456
1.721862,8.882793,0.775962
1.718089,8.878405,0.777637
1.714332,8.866912,0.778018
1.710592,8.872617,0.756309
1.706868,8.870326,0.758263
1.703161,8.873171,0.765839
1.699469,8.886175,0.76779
1.695795,8.866078,0.759339
1.692136,8.869019,0.749757
1.688493,8.87878,0.73977
1.684866,8.86905,0.740616
1.681255,8.875491,0.729203
1.67766,8.876569,0.732737
1.67408,8.862608,0.72839
1.670516,8.883079,0.732864
1.666966,8.880071,0.718313
1.663433,8.872636,0.715931
1.659914,8.862236,0.706868
1.656411,8.847197,0.69917
1.652922,8.855631,0.693765
1.649449,8.859812,0.694328
1.64599,8.860238,0.691422
1.642546,8.864869,0.691785
1.639116,8.883372,0.694199
1.635701,8.865702,0.684912
1.6323,8.859547,0.673345
1.628914,8.881494,0.661527
1.625542,8.865459,0.674302
1.622184,8.87481,0.674334
1.618841,8.870761,0.656488
1.615511,8.865919,0.661424
1.612195,8.888345,0.655028
1.608893,8.879766,0.657128
1.605604,8.889968,0.646069
1.60233,8.87655,0.643818
1.599069,8.891047,0.634077
1.595821,8.889073,0.630955
1.592587,8.896885,0.632075
1.589366,8.88357,0.630921
1.586158,8.898814,0.628834
1.582963,8.904224,0.630997
1.579782,8.906731,0.639178
1.576613,8.911435,0.623143
1.573457,8.936072,0.624101
1.570315,8.917715,0.614146
1.567184,8.945249,0.611212
1.564067,8.933482,0.592644
1.560962,8.942348,0.591484
1.55787,8.953052,0.598201
1.55479,8.965067,0.578094
1.551723,8.964334,0.571285
1.548668,8.989144,0.582609
1.545625,8.99401,0.585664
1.542594,9.015239,0.573812
1.539575,9.039011,0.556975
1.536569,9.049495,0.544473
1.533574,9.054093,0.530631
1.530591,9.107378,0.51056
1.52762,9.121444,0.495629
1.524661,9.159406,0.464558
1.521713,9.184772,0.448142
1.518777,9.206591,0.412079
1.515853,9.225254,0.36814
1.51294,9.220729,0.340923
1.510038,9.245942,0.328295
1.507148,9.282177,0.29696
1.504269,9.305907,0.229621
1.501401,9.293012,0.166207
1.498544,9.273859,0.122711
1.495698,9.246815,0.097595
1.492864,9.211086,0.084664
1.49004,9.16492,0.074097
1.487227,9.120369,0.068416
1.484425,9.064936,0.057765
1.481634,9.019404,0.036114
1.478853,8.989054,0.021388
1.476084,8.961699,0.01087
1.473324,8.937074,0.003887
1.470575,8.919412,0.00112
1.467837,8.904016,0.004082
1.465109,8.883692,0.010212
