Energy (eV),e1,e2
0.962001,7.068158,0
0.959446,7.061144,0
0.956904,7.059065,0
0.954376,7.05366,0
0.95186,7.052939,0
0.949358,7.047447,0
0.946868,7.047542,0
0.944391,7.041635,0
0.941927,7.041601,0
0.939475,7.036733,0
0.937036,7.036356,0
0.934609,7.030768,0
0.932194,7.029799,0
0.929792,7.024133,0
0.927402,7.023362,0
0.925023,7.017495,0
0.922657,7.016643,0
0.920303,7.010808,0
0.91796,7.010836,0
0.915629,7.005479,0
0.91331,7.005332,0
0.911002,6.999831,0
0.908706,7.000088,0
0.906421,6.996029,0
0.904148,6.996184,0
0.901886,6.99289,0
0.899634,6.993989,0
0.897394,6.988719,0
0.895165,6.98912,0
0.892947,6.984668,0
0.89074,6.986848,0
0.888543,6.986591,0.001059
0.886358,6.99172,0.002828
0.884183,6.992621,0.005016
0.882018,6.997252,0.007117
0.879864,6.993988,0.010527
0.87772,6.989334,0.009843
0.875587,6.979681,0.000329
0.873464,6.980514,0
0.871351,6.976988,0
0.869248,6.972958,0
0.867156,6.96003,0
0.865073,6.954122,0
0.863001,6.949423,0
0.860938,6.952438,0.003701
0.858885,6.954105,0.011809
0.856842,6.958316,0.016354
0.854808,6.959682,0.020875
0.852785,6.96395,0.023753
0.85077,6.964512,0.027145
0.848765,6.968388,0.028688
0.84677,6.967107,0.030843
0.844784,6.970859,0.032831
0.842808,6.969316,0.034154
0.84084,6.972039,0.035219
0.838882,6.970476,0.036673
0.836933,6.972279,0.037084
0.834993,6.97064,0.038244
0.833062,6.972911,0.039095
0.83114,6.971479,0.038819
0.829227,6.973326,0.038857
0.827323,6.971731,0.038388
0.825427,6.972889,0.037937
0.823541,6.971212,0.036524
0.821663,6.973473,0.035713
0.819793,6.971115,0.033798
0.817932,6.972994,0.031924
0.81608,6.971147,0.029845
0.814236,6.972547,0.027388
0.812401,6.970247,0.023533
0.810574,6.971877,0.021823
0.808755,6.970089,0.018139
0.806945,6.971328,0.014128
0.805142,6.969484,0.008945
0.803348,6.97046,0.005106
0.801562,6.968524,0
0.799784,6.969297,0
0.798014,6.965532,0
0.796252,6.965055,0
0.794498,6.954887,0
0.792752,6.942225,0
0.791013,6.916384,0
0.789283,6.910245,0
0.78756,6.908659,0
0.785845,6.913463,0
0.784137,6.917273,0
0.782437,6.922515,0.000518
0.780744,6.919012,0.003387
0.779059,6.911228,0.00337
0.777382,6.90645,0
0.775711,6.910622,0
0.774049,6.913356,0
0.772393,6.918572,0
0.770745,6.918416,0
0.769104,6.917815,0
0.76747,6.907628,0
0.765843,6.899929,0
0.764223,6.890566,0
0.762611,6.888725,0
0.761005,6.882143,0
0.759406,6.884197,0
0.757815,6.879606,0
0.75623,6.88176,0
0.754652,6.879268,0
0.753081,6.880452,0
0.751516,6.878296,0
0.749959,6.878725,0
0.748408,6.876328,0.000002
0.746863,6.877508,0.000887
0.745326,6.875077,0.003511
0.743795,6.875698,0.00478
0.74227,6.874121,0.007292
0.740752,6.87532,0.008341
0.73924,6.873955,0.011163
0.737735,6.875489,0.011985
0.736236,6.874147,0.014691
0.734744,6.875625,0.016865
