Energy (eV),Wavelength (nm),e1,e2,n,k
2.019613,613.978943,1,0,1,0
2.014406,615.566101,1,0,1,0
2.009225,617.153259,1,0,1,0
2.004072,618.740295,1,0,1,0
1.998945,620.327271,1,0,1,0
1.993844,621.914185,1,0,1,0
1.98877,623.501099,1,0,1,0
1.983721,625.08783,1,0,1,0
1.978698,626.674561,1,0,1,0
1.973701,628.261169,1,0,1,0
1.96873,629.847778,1,0,1,0
1.963783,631.434204,1,0,1,0
1.958862,633.02063,1,0,1,0
1.953965,634.606995,1,0,1,0
1.949093,636.193237,1,0,1,0
1.944246,637.779419,1,0,1,0
1.939422,639.365601,1,0,1,0
1.934623,640.95166,1,0,1,0
1.929848,642.537659,1,0,1,0
1.925097,644.123535,1,0,1,0
1.920369,645.709351,1,0,1,0
1.915664,647.295105,1,0,1,0
1.910983,648.880737,1,0,1,0
1.906325,650.46637,1,0,1,0
1.901689,652.05188,1,0,1,0
1.897076,653.637329,1,0,1,0
1.892486,655.222717,1,0,1,0
1.887918,656.807983,1,0,1,0
1.883373,658.393188,1,0,1,0
1.87885,659.978333,1,0,1,0
1.874348,661.563354,1,0,1,0
1.869868,663.148315,1,0,1,0
1.86541,664.733276,1,0,1,0
1.860973,666.318054,1,0,1,0
1.856558,667.902771,1,0,1,0
1.852163,669.487427,1,0,1,0
1.84779,671.07196,1,0,1,0
1.843437,672.656433,1,0,1,0
1.839105,674.240845,1,0,1,0
1.834794,675.825195,1,0,1,0
1.830503,677.409424,1,0,1,0
1.826232,678.99353,1,0,1,0
1.821982,680.577637,1,0,1,0
1.817751,682.16156,1,0,1,0
1.81354,683.745483,1,0,1,0
1.809349,685.329285,1,0,1,0
1.805178,686.913025,1,0,1,0
1.801026,688.496643,1,0,1,0
1.796893,690.0802,1,0,1,0
1.792779,691.663696,1,0,1,0
1.788684,693.247009,1,0,1,0
1.784608,694.830322,1,0,1,0
1.780551,696.413513,1,0,1,0
1.776513,697.996643,1,0,1,0
1.772493,699.579651,1,0,1,0
1.768492,701.162537,1,0,1,0
1.764508,702.745422,1,0,1,0
1.760543,704.328125,1,0,1,0
1.756596,705.910767,1,0,1,0
1.752667,707.493347,1,0,1,0
1.748755,709.075806,1,0,1,0
1.744861,710.658203,1,0,1,0
1.740985,712.24054,1,0,1,0
1.737126,713.822693,1,0,1,0
1.733284,715.404785,1,0,1,0
1.72946,716.986816,1,0,1,0
1.725653,718.568726,1,0,1,0
1.721862,720.150513,1,0,1,0
1.718089,721.7323,1,0,1,0
1.714332,723.313904,1,0,1,0
1.710592,724.895386,1,0,1,0
1.706868,726.476868,1,0,1,0
1.703161,728.058228,1,0,1,0
1.699469,729.639465,1,0,1,0
1.695795,731.220581,1,0,1,0
1.692136,732.801636,1,0,1,0
1.688493,734.382568,1,0,1,0
1.684866,735.96344,1,0,1,0
1.681255,737.544189,1,0,1,0
1.67766,739.124878,1,0,1,0
1.67408,740.705383,1,0,1,0
1.670516,742.285828,1,0,1,0
1.666966,743.866211,1,0,1,0
1.663433,745.446411,1,0,1,0
1.659914,747.02655,1,0,1,0
1.656411,748.606628,1,0,1,0
1.652922,750.186584,1,0,1,0
1.649449,751.766418,1,0,1,0
1.64599,753.34613,1,0,1,0
1.642546,754.925781,1,0,1,0
1.639116,756.50531,1,0,1,0
1.635701,758.084717,1,0,1,0
1.6323,759.664063,1,0,1,0
1.628914,761.243286,1,0,1,0
1.625542,762.822388,1,0,1,0
1.622184,764.401367,1,0,1,0
1.618841,765.980286,1,0,1,0
1.615511,767.559082,1,0,1,0
1.612195,769.137756,1,0,1,0
1.608893,770.71637,1,0,1,0
1.605604,772.2948,1,0,1,0
1.60233,773.873169,1,0,1,0
1.599069,775.451416,1,0,1,0
1.595821,777.029541,1,0,1,0
1.592587,778.607544,1,0,1,0
1.589366,780.185486,1,0,1,0
1.586158,781.763306,1,0,1,0
1.582963,783.341003,1,0,1,0
1.579782,784.918579,1,0,1,0
1.576613,786.496094,1,0,1,0
1.573457,788.073425,1,0,1,0
1.570315,789.650696,1,0,1,0
1.567184,791.227844,1,0,1,0
1.564067,792.80481,1,0,1,0
1.560962,794.381714,1,0,1,0
1.55787,795.958557,1,0,1,0
1.55479,797.535278,1,0,1,0
1.551723,799.111816,1,0,1,0
1.548668,800.688293,1,0,1,0
1.545625,802.264587,1,0,1,0
1.542594,803.84082,1,0,1,0
1.539575,805.416931,1,0,1,0
1.536569,806.99292,1,0,1,0
1.533574,808.568726,1,0,1,0
1.530591,810.144531,1,0,1,0
1.52762,811.720154,1,0,1,0
1.524661,813.295654,1,0,1,0
1.521713,814.871033,1,0,1,0
1.518777,816.44635,1,0,1,0
1.515853,818.021484,1,0,1,0
1.51294,819.596497,1,0,1,0
1.510038,821.171509,1,0,1,0
1.507148,822.746216,1,0,1,0
1.504269,824.320923,1,0,1,0
1.501401,825.895508,1,0,1,0
1.498544,827.46991,1,0,1,0
1.495698,829.04425,1,0,1,0
1.492864,830.618347,1,0,1,0
1.49004,832.192505,1,0,1,0
1.487227,833.766418,1,0,1,0
1.484425,835.340149,1,0,1,0
1.481634,836.913879,1,0,1,0
1.478853,838.487427,1,0,1,0
1.476084,840.060852,1,0,1,0
1.473324,841.634155,1,0,1,0
1.470575,843.207336,1,0,1,0
1.467837,844.780396,1,0,1,0
1.465109,846.353333,1,0,1,0
1.462391,847.926147,1,0,1,0
1.459684,849.49884,1,0,1,0
1.456987,851.071411,1,0,1,0
1.4543,852.643738,1,0,1,0
1.451623,854.216003,1,0,1,0
1.448957,855.788208,1,0,1,0
1.4463,857.360229,1,0,1,0
1.443653,858.932129,1,0,1,0
1.441016,860.503906,1,0,1,0
1.438389,862.0755,1,0,1,0
1.435772,863.646973,1,0,1,0
1.433164,865.218384,1,0,1,0
1.430566,866.789673,1,0,1,0
1.427978,868.360718,1,0,1,0
1.425399,869.931763,1,0,1,0
1.42283,871.502563,1,0,1,0
1.42027,873.073242,1,0,1,0
1.41772,874.64386,1,0,1,0
1.415179,876.214233,1,0,1,0
1.412647,877.784546,1,0,1,0
1.410125,879.354675,1,0,1,0
1.407612,880.924683,1,0,1,0
1.405108,882.494629,1,0,1,0
1.402613,884.064331,1,0,1,0
1.400127,885.633972,1,0,1,0
1.39765,887.20343,1,0,1,0
1.395182,888.772766,1,0,1,0
1.392723,890.34198,1,0,1,0
1.390273,891.911011,1,0,1,0
1.387832,893.47998,1,0,1,0
1.385399,895.048706,1,0,1,0
1.382976,896.617371,1,0,1,0
1.380561,898.185913,1,0,1,0
1.378154,899.754272,1,0,1,0
1.375756,901.322449,1,0,1,0
1.373367,902.890503,1,0,1,0
1.370986,904.458496,1,0,1,0
1.368614,906.026245,1,0,1,0
1.36625,907.593933,1,0,1,0
1.363894,909.161438,1,0,1,0
1.361547,910.728821,1,0,1,0
1.359208,912.296021,1,0,1,0
1.356877,913.863098,1,0,1,0
1.354555,915.429993,1,0,1,0
1.35224,916.996765,1,0,1,0
1.349934,918.563354,1,0,1,0
1.347636,920.129883,1,0,1,0
1.345345,921.696289,1,0,1,0
1.343063,923.26239,1,0,1,0
1.340789,924.828491,1,0,1,0
1.338523,926.394409,1,0,1,0
1.336264,927.960144,1,0,1,0
1.334014,929.525757,1,0,1,0
1.331771,931.091187,1,0,1,0
1.329535,932.656555,1,0,1,0
1.327308,934.22168,1,0,1,0
1.325088,935.786621,1,0,1,0
1.322876,937.35144,1,0,1,0
1.320672,938.916199,1,0,1,0
1.318475,940.480774,1,0,1,0
1.316285,942.045105,1,0,1,0
1.314103,943.609375,1,0,1,0
1.311928,945.173523,1,0,1,0
1.309761,946.737427,1,0,1,0
1.307601,948.301147,1,0,1,0
1.305449,949.864868,1,0,1,0
1.303304,951.428345,1,0,1,0
1.301166,952.991577,1,0,1,0
1.299035,954.55481,1,0,1,0
1.296911,956.117798,1,0,1,0
1.294795,957.680664,1,0,1,0
1.292686,959.243347,1,0,1,0
1.290583,960.805969,1,0,1,0
1.288488,962.368286,1,0,1,0
1.2864,963.930542,1,0,1,0
1.284319,965.492554,1,0,1,0
1.282244,967.054504,1,0,1,0
1.280177,968.616211,1,0,1,0
1.278116,970.177856,1,0,1,0
1.276062,971.739258,1,0,1,0
1.274016,973.300476,1,0,1,0
1.271975,974.861633,1,0,1,0
1.269942,976.422546,1,0,1,0
1.267915,977.983398,1,0,1,0
1.265895,979.544067,1,0,1,0
1.263882,981.104492,1,0,1,0
1.261875,982.664734,1,0,1,0
1.259875,984.224915,1,0,1,0
1.257881,985.784851,1,0,1,0
1.255894,987.344727,1,0,1,0
1.253913,988.904297,1,0,1,0
1.251939,990.463745,1,0,1,0
1.249971,992.023132,1,0,1,0
1.248009,993.582336,1,0,1,0
1.246054,995.141296,1,0,1,0
1.244105,996.700073,1,0,1,0
1.242163,998.258667,1,0,1,0
1.240227,999.8172,1,0,1,0
1.223788,1013.247437,1,0,1,0
1.219735,1016.613953,1,0,1,0
1.215708,1019.981628,1,0,1,0
1.211706,1023.350586,1,0,1,0
1.207729,1026.720581,1,0,1,0
1.203776,1030.091797,1,0,1,0
1.199848,1033.464111,1,0,1,0
1.195944,1036.837646,1,0,1,0
1.192064,1040.21228,1,0,1,0
1.188208,1043.588135,1,0,1,0
1.184376,1046.964966,1,0,1,0
1.180567,1050.342896,1,0,1,0
1.176781,1053.721924,1,0,1,0
1.173018,1057.102051,1,0,1,0
1.169278,1060.483154,1,0,1,0
1.165561,1063.865479,1,0,1,0
1.161866,1067.248779,1,0,1,0
1.158193,1070.633057,1,0,1,0
1.154542,1074.018555,1,0,1,0
1.150914,1077.405029,1,0,1,0
1.147306,1080.792358,1,0,1,0
1.143721,1084.180908,1,0,1,0
1.140156,1087.570313,1,0,1,0
1.136613,1090.960693,1,0,1,0
1.13309,1094.352173,1,0,1,0
1.129589,1097.744507,1,0,1,0
1.126108,1101.137939,1,0,1,0
1.122647,1104.532104,1,0,1,0
1.119207,1107.927368,1,0,1,0
1.115787,1111.323486,1,0,1,0
1.112386,1114.720581,1,0,1,0
1.109006,1118.118652,1,0,1,0
1.105645,1121.517578,1,0,1,0
1.102303,1124.917358,1,0,1,0
1.098981,1128.318115,1,0,1,0
1.095678,1131.719604,1,0,1,0
1.092394,1135.12207,1,0,1,0
1.089128,1138.525391,1,0,1,0
1.085881,1141.929443,1,0,1,0
1.082653,1145.334473,1,0,1,0
1.079443,1148.740356,1,0,1,0
1.076252,1152.146973,1,0,1,0
1.073078,1155.554443,1,0,1,0
1.069922,1158.962646,1,0,1,0
1.066784,1162.371826,1,0,1,0
1.063664,1165.781616,1,0,1,0
1.060561,1169.192139,1,0,1,0
1.057476,1172.603638,1,0,1,0
1.054408,1176.015747,1,0,1,0
1.051357,1179.428589,1,0,1,0
1.048322,1182.842163,1,0,1,0
1.045305,1186.256592,1,0,1,0
1.042304,1189.671631,1,0,1,0
1.03932,1193.087402,1,0,1,0
1.036353,1196.503906,1,0,1,0
1.033401,1199.921143,1,0,1,0
1.030466,1203.338989,1,0,1,0
1.027547,1206.757568,1,0,1,0
1.024644,1210.176636,1,0,1,0
1.021756,1213.596558,1,0,1,0
1.018885,1217.016968,1,0,1,0
1.016029,1220.438232,1,0,1,0
1.013188,1223.859985,1,0,1,0
1.010363,1227.282349,1,0,1,0
1.007552,1230.705322,1,0,1,0
1.004757,1234.128906,1,0,1,0
1.001977,1237.552979,1,0,1,0
0.999212,1240.977783,1,0,1,0
0.996462,1244.403076,1,0,1,0
0.993726,1247.828979,1,0,1,0
0.991005,1251.255493,1,0,1,0
0.988298,1254.682373,1,0,1,0
0.985605,1258.109985,1,0,1,0
0.982927,1261.537964,1,0,1,0
0.980263,1264.966553,1,0,1,0
0.977613,1268.39563,1,0,1,0
0.974977,1271.825195,1,0,1,0
0.972354,1275.255249,1,0,1,0
0.969746,1278.685791,1,0,1,0
0.967151,1282.116821,1,0,1,0
0.964569,1285.548218,1,0,1,0
0.962001,1288.980225,1,0,1,0
0.959446,1292.412476,1,0,1,0
0.956904,1295.845337,1,0,1,0
0.954376,1299.278564,1,0,1,0
0.95186,1302.712158,1,0,1,0
0.949358,1306.14624,1,0,1,0
0.946868,1309.580566,1,0,1,0
0.944391,1313.015381,1,0,1,0
0.941927,1316.450562,1,0,1,0
0.939475,1319.886108,1,0,1,0
0.937036,1323.322021,1,0,1,0
0.934609,1326.758301,1,0,1,0
0.932194,1330.194824,1,0,1,0
0.929792,1333.631836,1,0,1,0
0.927402,1337.069092,1,0,1,0
0.925023,1340.506592,1,0,1,0
0.922657,1343.944458,1,0,1,0
0.920303,1347.382568,1,0,1,0
0.91796,1350.821045,1,0,1,0
0.915629,1354.259766,1,0,1,0
0.91331,1357.69873,1,0,1,0
