,Photon Energy (eV),e1,e2,N,n,k
214,2.246256,6.915647783,1.363329466,(2.6423849080219144+0.25797329190544244j),2.642384908,0.257973292
215,2.239807,6.906887481,1.356525556,(2.6406179777022913+0.2568575931739169j),2.640617978,0.256857593
216,2.233395,6.89829663,1.349849605,(2.6388843350869213+0.2557614190881017j),2.638884335,0.255761419
217,2.227019,6.889873082,1.343296782,(2.637183537419213+0.2546839767687082j),2.637183537,0.254683977
218,2.22068,6.88161732,1.336864365,(2.6355156740032304+0.2536248177151743j),2.635515674,0.253624818
219,2.214378,6.87352845,1.330548623,(2.6338805566249044+0.2525833260076581j),2.633880557,0.252583326
220,2.208111,6.865603039,1.324343892,(2.6322774835713365+0.2515585648938542j),2.632277484,0.251558565
221,2.20188,6.857841483,1.318247558,(2.6307065275850534+0.250550098267823j),2.630706528,0.250550098
222,2.195684,6.850241635,1.312255067,(2.629167247529122+0.24955716839637107j),2.629167248,0.249557168
223,2.189523,6.842802593,1.306362893,(2.6276594536972646+0.24857918548955174j),2.627659454,0.248579185
224,2.183396,6.835522241,1.3005666,(2.6261827107640854+0.24761540674722388j),2.626182711,0.247615407
225,2.177305,6.828401982,1.294864613,(2.6247372979006096+0.24666556415877308j),2.624737298,0.246665564
226,2.171247,6.821437333,1.289250699,(2.6233222989681417+0.24572861279703506j),2.623322299,0.245728613
227,2.165223,6.814628485,1.283722418,(2.621937747299846+0.24480413749730037j),2.621937747,0.244804137
228,2.159232,6.807973313,1.278275509,(2.6205832054094063+0.24389141811371598j),2.620583205,0.243891418
229,2.153275,6.801471893,1.272907564,(2.6192586840654553+0.2429900436952083j),2.619258684,0.242990044
230,2.147351,6.795122059,1.267614393,(2.6179637376741662+0.24209930305131724j),2.617963738,0.242099303
231,2.14146,6.788922725,1.26239274,(2.6166981404474714+0.2412186412816828j),2.61669814,0.241218641
232,2.135601,6.782871738,1.257238502,(2.615461448996303+0.24034735872694218j),2.615461449,0.240347359
233,2.129774,6.776967983,1.252148495,(2.6142534317631587+0.23948490983571558j),2.614253432,0.23948491
234,2.123979,6.771210301,1.247119558,(2.613073848309089+0.23863075256417385j),2.613073848,0.238630753
235,2.118216,6.765597484,1.242148556,(2.6119224490789366+0.23778434861996067j),2.611922449,0.237784349
236,2.112484,6.760127334,1.237231526,(2.6107987810218245+0.23694501748883917j),2.610798781,0.236945017
237,2.106784,6.754799532,1.232366247,(2.6097027773440398+0.23611237605004765j),2.609702777,0.236112376
238,2.101114,6.749610915,1.227547969,(2.608633786498069+0.2352856072454818j),2.608633786,0.235285607
239,2.095475,6.744561082,1.222774529,(2.60759172564759+0.23446433673019274j),2.607591726,0.234464337
