Wavelength (nm),Energy (eV),n,k,e1,e2
1060.483154,1.169278,1.831041,0.000493,3.352712,0.001806
1063.865479,1.165561,1.830855,0.000477,3.352028,0.001748
1067.248779,1.161866,1.830664,0.000462,3.351332,0.001691
1070.633057,1.158193,1.830472,0.000446,3.350627,0.001633
1074.018555,1.154542,1.830285,0.000431,3.349944,0.001579
1077.405029,1.150914,1.830096,0.000416,3.34925,0.001524
1080.792358,1.147306,1.829908,0.000402,3.348562,0.001471
1084.180908,1.143721,1.829722,0.000388,3.347881,0.00142
1087.570313,1.140156,1.829537,0.000374,3.347204,0.00137
1090.960693,1.136613,1.829349,0.000361,3.346518,0.00132
1094.352173,1.13309,1.829167,0.000348,3.345852,0.001272
1097.744507,1.129589,1.828982,0.000335,3.345174,0.001224
