Energy (eV),Wavelength (nm),n,k,e1,e2
1.154542,1074.018555,1.497551,0.000004,2.242658,0.000011
1.150914,1077.405029,1.497516,0.000004,2.242554,0.000011
1.147306,1080.792358,1.497481,0.000004,2.24245,0.000011
1.143721,1084.180908,1.497447,0.000004,2.242346,0.000011
1.140156,1087.570313,1.497412,0.000004,2.242243,0.000011
1.136613,1090.960693,1.497377,0.000004,2.242139,0.000011
1.13309,1094.352173,1.497343,0.000004,2.242036,0.000011
1.129589,1097.744507,1.497309,0.000004,2.241933,0.000011
1.126108,1101.137939,1.497274,0.000004,2.241831,0.000011
1.122647,1104.532104,1.49724,0.000004,2.241728,0.000011
1.119207,1107.927368,1.497206,0.000004,2.241626,0.000011
1.115787,1111.323486,1.497172,0.000004,2.241524,0.000011
1.112386,1114.720581,1.497138,0.000004,2.241422,0.000011
1.109006,1118.118652,1.497104,0.000004,2.24132,0.000011
1.105645,1121.517578,1.49707,0.000004,2.241219,0.000011
1.102303,1124.917358,1.497036,0.000004,2.241118,0.000011
1.098981,1128.318115,1.497002,0.000004,2.241017,0.000011
1.095678,1131.719604,1.496969,0.000004,2.240916,0.000011
1.092394,1135.12207,1.496935,0.000004,2.240815,0.000011
1.089128,1138.525391,1.496902,0.000004,2.240714,0.000011
1.085881,1141.929443,1.496868,0.000004,2.240614,0.000011
1.082653,1145.334473,1.496835,0.000004,2.240514,0.000011
1.079443,1148.740356,1.496801,0.000004,2.240413,0.000011
1.076252,1152.146973,1.496768,0.000004,2.240314,0.000011
1.073078,1155.554443,1.496734,0.000004,2.240214,0.000011
1.069922,1158.962646,1.496701,0.000004,2.240114,0.000011
1.066784,1162.371826,1.496668,0.000004,2.240014,0.000011
1.063664,1165.781616,1.496634,0.000004,2.239915,0.000011
1.060561,1169.192139,1.496601,0.000004,2.239815,0.000011
1.057476,1172.603638,1.496568,0.000004,2.239716,0.000011
1.054408,1176.015747,1.496535,0.000004,2.239617,0.000011
1.051357,1179.428589,1.496502,0.000004,2.239518,0.000011
1.048322,1182.842163,1.496469,0.000004,2.239419,0.000011
1.045305,1186.256592,1.496436,0.000004,2.239321,0.000011
1.042304,1189.671631,1.496403,0.000004,2.239222,0.000011
1.03932,1193.087402,1.49637,0.000004,2.239124,0.000011
1.036353,1196.503906,1.496337,0.000004,2.239025,0.000011
1.033401,1199.921143,1.496304,0.000004,2.238927,0.000011
1.030466,1203.338989,1.496272,0.000004,2.238829,0.000011
1.027547,1206.757568,1.496239,0.000004,2.23873,0.000011
1.024644,1210.176636,1.496206,0.000004,2.238632,0.000011
1.021756,1213.596558,1.496173,0.000004,2.238534,0.000011
1.018885,1217.016968,1.496141,0.000004,2.238436,0.000011
