Energy (eV),Wavelength (nm),n,k,e1,e2
1.86541,664.733276,1.45616,0,2.120403,0
1.860973,666.318054,1.456119,0,2.120282,0
1.856558,667.902771,1.456078,0,2.120164,0
1.852163,669.487427,1.456039,0,2.120051,0
1.84779,671.07196,1.456001,0,2.11994,0
1.843437,672.656433,1.455963,0,2.119829,0
1.839105,674.240845,1.455925,0,2.119718,0
1.834794,675.825195,1.455887,0,2.119606,0
1.830503,677.409424,1.455849,0,2.119496,0
1.826232,678.99353,1.455811,0,2.119385,0
1.821982,680.577637,1.455773,0,2.119275,0
1.817751,682.16156,1.455735,0,2.119164,0
1.81354,683.745483,1.455697,0,2.119052,0
1.809349,685.329285,1.455658,0,2.118941,0
1.805178,686.913025,1.45562,0,2.118831,0
1.801026,688.496643,1.455583,0,2.118721,0
1.796893,690.0802,1.455544,0,2.11861,0
1.792779,691.663696,1.455507,0,2.1185,0
1.788684,693.247009,1.455469,0,2.11839,0
1.784608,694.830322,1.45543,0,2.118277,0
1.780551,696.413513,1.455392,0,2.118166,0
1.776513,697.996643,1.455355,0,2.118057,0
1.772493,699.579651,1.455317,0,2.117946,0
1.768492,701.162537,1.455278,0,2.117835,0
1.764508,702.745422,1.45524,0,2.117724,0
1.760543,704.328125,1.455202,0,2.117614,0
1.756596,705.910767,1.455165,0,2.117506,0
1.752667,707.493347,1.455133,0,2.117411,0
1.748755,709.075806,1.455103,0,2.117325,0
1.744861,710.658203,1.455074,0,2.11724,0
1.740985,712.24054,1.455045,0,2.117156,0
1.737126,713.822693,1.455016,0,2.117072,0
1.733284,715.404785,1.454987,0,2.116987,0
1.72946,716.986816,1.454958,0,2.116902,0
1.725653,718.568726,1.454929,0,2.116818,0
1.721862,720.150513,1.4549,0,2.116735,0
1.718089,721.7323,1.454871,0,2.116649,0
1.714332,723.313904,1.454842,0,2.116565,0
1.710592,724.895386,1.454813,0,2.116481,0
1.706868,726.476868,1.454784,0,2.116397,0
1.703161,728.058228,1.454755,0,2.116312,0
1.699469,729.639465,1.454726,0,2.116228,0
